overview,vote_average,length,unique_words
set in the mayan civilization when a mans idyllic presence is brutally disrupted by a violent invading force he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life,7.3,75,54
james bond helps a russian general escape into the west he soon finds out that the kgb wants to kill him for helping the general a little while later the general is kidnapped from the secret service leading  to be suspicious,6.2,41,33
a mercenary reluctantly leads a motley crew of warriors who soon come to realize theyve been captured and deposited on an alien planet by an unknown nemesis with the exception of a peculiar physician they are all coldblooded killers convicts death squad members hunters who have now become the hunted,6.0,50,44
district attorney tom logan is set for higher office at least until he becomes involved with defence lawyer laura kelly and her unpredictable client chelsea deardon it seems the least of chelseas crimes is the theft of a very valuable painting but as the women persuade logan to investigate further and to cut some official corners a much more sinister scenario starts to emerge,5.8,64,54
mort rainey a writer just emerging from a painful divorce with his exwife is stalked at his remote lake house by a psychotic stranger and wouldbe scribe who claims rainey swiped his best story idea but as rainey endeavors to prove his innocence he begins to question his own sanity,6.4,50,41
a lonely doctor who once occupied an unusual lakeside home begins exchanging love letters with its former resident a frustrated architect they must try to unravel the mystery behind their extraordinary romance before its too late,6.5,36,34
a hospice nurse working at a spooky new orleans plantation home finds herself entangled in a mystery involving the houses dark past,6.4,22,20
a childless couple bury a box in their backyard containing all of their wishes for an infant soon a child is born though timothy green is not all that he appears,6.5,31,26
tom and hannah have been platonic friends for  years hes a serial dater while she wants marriage but hasnt found mr right just as tom is starting to think that he is relationship material after all hannah gets engaged when she asks tom to be her maid of honor he reluctantly agrees just so he can attempt to stop the wedding and woo her,6.0,64,52
from director clint eastwood comes the bigscreen version of the tony awardwinning musical jersey boys the film tells the story of four young men from the wrong side of the tracks in new jersey who came together to form the iconic s rock group the four seasons the story of their trials and triumphs are accompanied by the songs that influenced a generation including sherry big girls dont cry walk like a man rag doll and many more,6.8,78,60
when rudy baylor matt damon a young attorney with no clients goes to work for a seedy ambulance chaser he wants to help the parents of a terminally ill boy in their suit against an insurance company represented by a ruthless jon voight but to take on corporate america rudy and a scrappy paralegal danny devito must open their own law firm,6.7,62,54
after a car crash a criminal psychologist halle berry comes to only to find that shes a patient in the same mental institution that currently employs her it seems shes been accused of murdering her husband  but she has no memory of committing the crime as she tries to regain her memory and convince her coworkers of her innocence a vengeful spirit uses her as an earthly pawn which further convinces everyone of her guilt,5.8,75,55
in  the slave ship amistad set sail from cuba to america during the long trip cinque leads the slaves in an unprecedented uprising they are then held prisoner in connecticut and their release becomes the subject of heated debate freed slave theodore joadson wants cinque and the others exonerated and recruits property lawyer roger baldwin to help his case eventually john quincy adams also becomes an ally,6.8,67,54
an eccentric scientist working for a large drug company is working on a research project in the amazon jungle he sends for a research assistant and a gas chromatograph because hes close to a cure for cancer when the assistant turns out to be a mere woman he rejects her help meanwhile the bulldozers get closer to the area in which they are conducting research and they eventually learn to work together and begin falling in love,5.8,77,54
a sequel to s alien vs predator the iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever  in our own backyard the small town of gunnison colorado becomes a war zone between two of the deadliest extraterrestrial life forms  the alien and the predator when a predator scout ship crashlands in the hills outside the town alien facehuggers and a hybrid alienpredator are released and begin to terrorize the town,4.9,79,54
billionaire heir richie rich has it all including reggie jackson as a batting coach and claudia schiffer as a personal trainer  but no playmates whats more scoundrel laurence van dough is scheming to take over the family empire uhoh enter faithful butler cadbury to save the day,5.4,47,43
autumn in new york follows the sexual exploits of will keane  new york restaurateur infamous vergingon playboy master of the nocommitment seduction  until he runs into an unexpected dead end when he meets charlotte fielding charlotte is half wills age and twice his match a  yearold free spirit yearning to get out and taste the excitement of adult life,5.7,59,50
a washed up singer is given a couple days to compose a charttopping hit for an aspiring teen sensation though hes never written a decent lyric in his life he sparks with an offbeat younger woman with a flair for words,6.2,41,34
for the past  years a spacetraveling smartass named paul has been locked up in a topsecret military base advising world leaders about his kind but when he worries hes outlived his usefulness and the dissection table is drawing uncomfortably close paul escapes on the first rv that passes by his compound in area  fortunately it contains the two earthlings who are most likely to rescue and harbor an alien on the run,6.5,72,61
an inventor and his mom hit the road together so he can sell his latest invention,5.4,16,15
sidney prescott now the author of a selfhelp book returns home to woodsboro on the last stop of her book tour there she reconnects with sheriff dewey and gale who are now married as well as her cousin jill and her aunt kate unfortunately sidneys appearance also brings about the return of ghostface putting sidney gale and dewey along with jill her friends and the whole town of woodsboro in danger,6.1,71,50
a small seemingly innocuous plastic reel of film leads surveillance specialist tom welles down an increasingly dark and frightening path with the help of the streetwise max he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger as his work turns into obsession he drifts farther and farther away from his wife family and simple life as a smalltown pi,6.1,66,52
the story of the famous and influential s rock band and its lead singer and composer jim morrison,6.7,18,15
when jay and annie first got together their romantic connection was intense  but ten years and two kids later the flame of their love needs a spark  to kick things up a notch they decide  why not  to make a video of themselves trying out every position in the joy of sex in one marathon threehour session  it seems like a great idea  until they discover that their most private video is no longer private  with their reputations on the line they know theyre just one click away from being laid bare to the world but as their race to reclaim their video leads to a night theyll never forget theyll find that their video will expose even more than they bargained for,5.3,123,91
a trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father to whom none of them was particularly close,5.0,24,21
in this fifth installment death is just as omnipresent as ever and is unleashed after one mans premonition saves a group of coworkers from a terrifying suspension bridge collapse but this group of unsuspecting souls was never supposed to survive and in a terrifying race against time the illfated group frantically tries to discover a way to escape deaths sinister agenda,5.9,61,47
an english auctioneer proposes to the daughter of a mafia kingpin only to realize that certain favors would be asked of him,5.3,22,20
like some other kids yearold trevor mckinney believed in the goodness of human nature like many other kids he was determined to change the world for the better unlike most other kids he succeeded,7.0,34,26
when relaxed and charming ben wrightman meets workaholic lindsey meeks she finds him sweet and charming they hit it off and when it is winter ben can spend every waking hour with lindsey but when summer comes around the corner lindsey discovers bens obsession with the boston red sox she thinks it is perfect until everything goes downhill for them,5.9,60,46
three kids hire a lowbudget bodyguard to protect them from the playground bully not realising he is just a homeless beggar and petty thief looking for some easy cash,5.5,29,28
as a cowardly farmer begins to fall for the mysterious new woman in town he must put his newfound courage to the test when her husband a notorious gunslinger announces his arrival,5.8,32,28
based on the s comic strip puts the hero up against his arch enemy shiwan khan who plans to take over the world by holding a city to ransom using an atom bomb using his powers of invisibility and the power to cloud mens minds the shadow comes blazing to the citys rescue with explosive results,5.4,56,46
a year after his fathers death oskar a troubled young boy discovers a mysterious key he believes was left for him by his father and embarks on a scavenger hunt to find the matching lock,6.9,35,31
a young and devoted morning television producer is hired as an executive producer on a  longrunning morning show at a onceprominent but currently failing station in new york city eager to keep the show on air she recruits a former news journalist and anchor who disapproves of cohosting a show that does not deal with real news stories,6.1,58,47
a tale of an inner city drug dealer who turns away from crime to pursue his passion rap music,6.3,19,19
when ruthless terrorists threaten to bring down the united nations they frame the one man they believe can stop them an international security expert named shaw now he must run from his own allies and become a solitary force for good as he tries to stop what could become world war iii,5.6,52,46
this rock opera tells the story of one year in the life of a group of bohemians struggling in modern day east village new york the story centers around mark and roger two roommates while a former tragedy has made roger numb to life mark tries to capture it through his attempts to make a film in the year that follows the group deals with love loss aids and modern day life,6.7,72,50
when maggies sister jenna saddles her with an autistic newborn named cody she touches maggies heart and becomes the daughter she has always longed for but six years later jenna suddenly reenters her life and with her mysterious new husband eric stark abducts cody despite the fact that maggie has no legal rights to cody fbi agent john travis takes up her cause when he realizes that cody shares the same birth date as several other recently missing children,4.9,79,63
the remake of the  neil simon comedy follows the adventures of a couple henry and nancy clark vexed by misfortune while in new york city for a job interview,5.0,29,25
a shipwrecked sailor stumbles upon a mysterious island and is shocked to discover that a brilliant scientist and his lab assistant have found a way to combine human and animal dna with horrific results,4.6,34,28
in peter hyamss adaptation of the famous alexander dumas story the three musketeers the young dartagnan seeks to join the legendary musketeer brigade and avenge his fathers death  but he finds that the musketeers have been disbanded,5.2,37,32
a sumptuous and sensual tale of intrigue romance and betrayal set against the backdrop of a defining moment in european history two beautiful sisters anne and mary boleyn driven by their familys blind ambition compete for the love of the handsome and passionate king henry viii,6.4,46,38
nelson is a man devoted to his advertising career in san francisco one day while taking a driving test at the dmv he meets sara she is very different from the other women in his life nelson causes her to miss out on taking the test and later that day she tracks him down one thing leads to another and nelson ends up living with her through a november that will change his life forever,6.4,75,54
katherine morrissey a former christian missionary lost her faith after the tragic deaths of her family now she applies her expertise to debunking religious phenomena when a series of biblical plagues overrun a small town katherine arrives to prove that a supernatural force is not behind the occurrences but soon finds that science cannot explain what is happening instead she must regain her faith to combat the evil that waits in a louisiana swamp,5.4,74,56
a smalltime hood must choose from among love friendship and the chance to rise within the mob,7.2,17,16
danny devito plays an advertising man who is slowly sliding downhill when he is fired from his job in detroit he signs up for unemployment one day they find him a job teaching thinking skills to army recruits he arrives on base to find that there is no structure set up for the class,5.9,54,45
zoe saldana plays a young woman who after witnessing her parents murder as a child in bogota grows up to be a stonecold assassin she works for her uncle as a hitman by day but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target the mobster responsible for her parents death,6.5,61,47
during the times of king arthur kayley is a brave girl who dreams of following her late father as a knight of the round table the evil ruber wants to invade camelot and take the throne of king arthur and kayley has to stop him,6.9,45,33
a man struggling to come to terms with the sins of his father makes the terrible discovery that his own son has fallen into a life of crime in a drama based on a true story vincent lamarca is a dedicated and wellrespected new york city police detective who has gone to great lengths to distance himself from his past,5.7,60,48
a blind man has an operation to regain his sight at the urging of his girlfriend and must deal with the changes to his life,5.9,25,21
biker cary ford is framed by an old rival and biker gang leader for the murder of another gang member who happens to be the brother of trey leader of the most feared biker gang in the country ford is now on the run trying to clear his name from the murder with trey and his gang looking for his blood,4.7,61,39
the accidental shooting of a boy in new york leads to an investigation by the deputy mayor and unexpectedly farreaching consequences,6.0,21,20
a young drifter named nomi arrives in las vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl,4.9,27,22
the retelling of frances iconic but illfated queen marie antoinette from her betrothal and marriage to louis xvi at  to her reign as queen at  and ultimately the fall of versailles,6.5,31,24
jimmy kilmartin is an excon living in astoria in the new york city borough of queens trying to stay clean and raising a family with his wife bev but when his cousin ronnie causes him to take a fall for driving an illegal transport of stolen cars a police officer named calvin hart is injured and jimmy lands back in prison in exchange for an early release he is asked to help bring down a local crime boss named little junior brown  jimmy remarries and attempts to renew a relationship with his child but he is sent undercover by detective hart to work with junior and infiltrate his operations as soon as little junior kills an undercover federal agent with jimmy watching the unscrupulous district attorney and the feds further complicate his life he must take down junior or face the consequences,5.7,142,93
remake of the michael caine classic jack carter a mob enforcer living in las vegas travels back to his hometown of seattle for his brothers funeral during this visit carter realizes that the death of his brother was not accidental but a murder with this knowledge carter sets out to kill all those responsible,4.8,54,44
in december  closeknit family maria henry and their three sons begin their winter vacation in thailand but the day after christmas the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea followed by a wall of black water that devours everything in its path though maria and her family face their darkest hour unexpected displays of kindness and courage ameliorate their terror,7.0,71,56
two terrible lounge singers get booked to play a gig in a moroccan hotel but somehow become pawns in an international power play between the cia the emir of ishtar and the rebels trying to overthrow his regime,4.2,38,32
the fantastic mr fox bored with his current life plans a heist against the three local farmers the farmers tired of sharing their chickens with the sly fox seek revenge against him and his family,7.5,35,27
a reporter lanie kerrigan interviews a psychic homeless man for a fluff piece about a football games score instead he tells her that her life has no meaning and is going to end in just a few days which sparks her to action trying to change the pattern of her life,5.7,51,41
after a freak accident an invisible yuppie runs for his life from a treacherous cia official while trying to cope with his new life,5.7,24,21
at a tiny parisian caf the adorable yet painfully shy amlie audrey tautou accidentally discovers a gift for helping others soon amelie is spending her days as a matchmaker guardian angel and allaround dogooder but when she bumps into a handsome stranger will she find the courage to become the star of her very own love story,7.8,57,50
top student jane ryan heads to manhattan for a collegescholarship competition her rebellious twin roxy ryan goes along to crash a video shoot but anything can happen  and does  in a romp involving a pursuing truant officer a smuggler hunkalicious guys and the girls realization that when the chips are down a sister can be the best friend of all,5.5,60,49
in manhattan the british limousine driver alfie is surrounded by beautiful women having one night stands with all of them and without any sort of commitment his best friends are his colleague marlon and his girlfriend lonette alfie has a brief affair with lonette and the consequences of his act forces alfie to reflect over his lifestyle,5.6,57,44
based on an inspiring true story a smalltown news reporter krasinski and a greenpeace volunteer barrymore enlist the help of rival superpowers to save three majestic gray whales trapped under the ice of the arctic circle big miracle is adapted from the nonfiction book freeing the whales how the media created the worlds greatest nonevent by tom rose,6.6,58,49
michelle pfeiffer is ferocious in the role of a desperate mother whose yearold son disappears during her high school reunion nine years later by chance he turns up in the town in which the family has just relocated based on jacquelyn mitchards bestselling novel an oprah book club selection the movie effectively presents the troubling dynamics that exist between family members whove suffered such an unsettling loss,5.9,67,59
with four corpses on his hands new york city gumshoe mike reilly stephen dorff teams with department of health worker terry huston natascha mcelhone to track down a homicidal sadist who telecasts shocking acts of torture on the internet but they have their work cut out it seems the victims only link is that they all went toes up  hours after logging on a site known as feardotcomcom stephen rea also stars in this gruesome thriller,3.2,76,68
darren shan is a regular teenage kid he and his friend steve find out about a freak show coming to town and work hard at trying to find tickets they do and together they go to cirque du freak where they see many strange acts including a wolfman and a bearded lady,5.5,52,40
when a young couple buys their dream home they have no idea what the sweet little old lady upstairs is going to put them through,5.9,25,25
two former backup soul singers louis and floyd have not spoken to each other in  years and reluctantly agree to travel across the country together to a reunion concert to honor their recentlydeceased lead singer cleo a beautiful young woman who is believed to be floyds daughter accompanies them as a new singer,6.3,53,45
to obtain a supply of a rare mineral a ship raising operation is conducted for the only known source the titanic,5.2,21,18
luc deveraux the heroic former universal soldier is about to be thrown into action once again when seth michael jai white the supercomputer controlled ultrawarrior decides to take revenge and destroy its creators only luc can stop it all hell breaks loose as luc battles seth and a deadly team of perfect soldiers in a struggle that pits man against machine and good against evil,4.2,65,56
two crew members wake up on an abandoned spacecraft with no idea who they are how long theyve been asleep or what their mission is the two soon discover theyre actually not alone  and the reality of their situation is more horrifying than they could have imagined,6.5,47,42
gary sinise plays spencer olham a topsecret government weapons designer who is arrested by a clandestine government organization on suspicion of being a clone created by the hostile alien race wanting to take over earth,6.1,35,31
while filming an advertisement some extreme sports enthusiasts unwittingly stop a group of terrorists,5.0,14,14
a knight and his valet are plagued by a witch and to repair the damage they make use of the services of a wizard however something goes wrong and they are transported from the th century to the year  there the knight meets some of his family and slowly learns what this new century is like however he still needs to get back to the th century to deal with the witch so he starts looking for a wizard,4.8,79,50
fifty years into the future the sun is dying and earth is threatened by arctic temperatures a team of astronauts is sent to revive the sun  but the mission fails seven years later a new team is sent to finish the mission as mankinds last hope,7.0,46,32
jack mccall is a fasttalking literary agent who can close any deal any time any way he has set his sights on new age guru dr sinja cliff curtis for his own selfish purposes but dr sinja is on to him and jacks life comes unglued after a magical bodhi tree mysteriously appears in his backyard with every word jack speaks a leaf falls from the tree and he realizes that when the last leaf falls both he and the tree are toast words have never failed jack mccall but now hes got to stop talking and conjure up some outrageous ways to communicate or hes a goner,6.0,108,79
in a divided land it takes a rebellious boy and his clandestine love for a princess of an opposing race to stop a war orchestrated by a power hungry villain,5.4,30,26
eight years after fleeing the congo following his assassination of that countrys minister of mining former assassin jim terrier is back suffering from ptsd and digging wells to atone for his violent past after an attempt is made on his life terrier flies to london to find out who wants him dead  and why terriers search leads him to a reunion with annie a woman he once loved who is now married to an oily businessman with dealings in africa,5.5,80,63
alex rider thinks he is a normal school boy until his uncle is killed he discovers that his uncle was actually spy on a mission when he was killed alex is recruited by alan blunt to continue the mission he is sent to cornwall to investigate a new computer system which darrius sayle has created he plans to give the new computer systems to every school in the country but mr blunt has other ideas and alex must find out what it is,5.1,83,55
kale is a yearold placed under house arrest after punching his teacher he is confined to his house and decides to use his free time spying on his neighbors things start to get weird when guests enter the turners house and dont come back out kale and his friends ronnie and ashley start to grow more and more interested in what is actually happening within the house of robert turner,6.6,70,50
along with his new friends a teenager who was arrested by the us secret service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker but they must use their computer skills to find the evidence while being pursued by the secret service and the evil computer genius behind the virus,6.2,59,42
an emerging journalist jesse eisenberg an experienced cameraman terrence howard and a discredited reporter richard gere find their bold plan to capture bosnias top war criminal quickly spiraling out of control when a un representative mistakes them for a cia hit squad in a lighthearted thriller inspired by scott andersons popular esquire article the weinstein company provides stateside,6.6,58,54
a naive business graduate is installed as president of a manufacturing company as part of a stock scam,7.1,18,14
a heroic tale of three blood brothers and their struggle in the midst of war and political upheaval it is based on the assassination of ma a qing dynasty  story about the killing of general ma xinyi,6.3,37,29
the nomad is a historical epic set in thcentury kazakhstan the film is a fictionalised account of the youth and comingofage of ablai khan as he grows and fights to defend the fortress at hazrate turkestan from dzungar invaders,4.3,39,32
in a future where a failed globalwarming experiment kills off most life on the planet a class system evolves aboard the snowpiercer a train that travels around the globe via a perpetualmotion engine,6.7,33,27
paris emile a shy movie projectionist and raoul a colorful inventor find themselves embarked on the hunt for a monster terrorizing citizens they join forces with lucille the bighearted star of the bird of paradise cabaret an eccentric scientist and his irascible monkey to save the monster who turns out to be an oversized but harmless flea from the citys ruthlessly ambitious police chief,6.5,64,53
a movie directorscreenwriter finds a man to finance his latest project but soon discovers that the producer is actually an undercover fbi agent working on a mob sting operation,5.9,29,27
exactly one year after young rock guitarist eric draven and his fiance are brutally killed by a ruthless gang of criminals draven  watched over by a hypnotic crow  returns from the grave to exact revenge,7.3,35,32
the young shivudu is left as a foundling in a small village by his mother by the time hes grown up it has become apparent that he possesses exceptional gifts he meets the beautiful warriorprincess avanthika and learns that her queen has been held captive for the last  years shividu sets off to rescue her discovering his own origins in the process,7.5,62,50
due to a genetic disorder handsome librarian henry detamble involuntarily zips through time appearing at various moments in the life of his true love the beautiful artist clare abshire,6.7,29,28
in an effort to prevent family history from repeating itself meddlesome mom daphne wilder attempts to set up her youngest daughter milly with mr right meanwhile her other daughters try to keep their moms good intentions under control,5.8,38,35
when a car hits young victors pet dog sparky victor decides to bring him back to life the only way he knows how but when the boltnecked monster wreaks havoc and terror in the hearts of victors neighbors he has to convince them that sparkys still the good loyal friend he was,6.6,52,43
when the renegade crew of serenity agrees to hide a fugitive on their ship they find themselves in an actionpacked battle between the relentless military might of a totalitarian regime who will destroy anything  or anyone  to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space but the greatest danger of all may be on their ship,7.4,63,49
a fictional story inspired by north americas most famous female boxing promoter jackie kallen her struggle to survive and succeed in a male dominated sport,4.5,25,24
aiming to defeat the man of steel wealthy executive ross webster hires bumbling but brilliant gus gorman to develop synthetic kryptonite which yields some unexpected psychological effects in the third installment of the s superman franchise between rekindling romance with his high school sweetheart and saving himself superman must contend with a powerful supercomputer,5.3,54,48
a pair of aging boxing rivals are coaxed out of retirement to fight one final bout   years after their last match,6.0,21,20
in the early third century the land of wu is invaded by the warlord cao cao and his million soldiers the ruler of wu sun quan calls on the rival warlord liu bei for help but their two armies are still badly outnumbered however the wu strategist zhou yu sees that cao caos army is unused to battling on the sea which may just give them a chance if they can exploit this weakness properly,7.1,75,61
new york fashion designer melanie carmichael suddenly finds herself engaged to the citys most eligible bachelor but melanies past holds many secrets including jake the redneck husband she married in high school who refuses to divorce her bound and determined to end their contentious relationship once and for all melanie sneaks back home to alabama to confront her past,6.0,59,50
a romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help her find love his clever ploys however lead to an unexpected result,6.4,39,35
the army is known for churning out lean mean fighting machines intent on protecting our great nation martin is the inexplicable the incorrigible the invicible sgt ernie bilko leader of a ragtag group of the sorriest soldiers ever to enlist in the armed forces,5.5,44,37
exploring the further adventures of carmen and juni cortez who have now joined the family spy business as level  oss agents their new mission is to save the world from a mad scientist living on a volcanic island populated by an imaginative menagerie of creatures on this bizarre island none of the cortezs gadgets work and they must rely on their witsand each otherto survive and save the day,5.3,69,55
captain jeanluc picard and the crew of the enterprised find themselves at odds with the renegade scientist soran who is destroying entire star systems only one man can help picard stop sorans schemeand hes been dead for seventyeight years,6.4,39,36
ip mans peaceful life in foshan changes after gong yutian seeks an heir for his family in southern china ip man then meets gong er who challenges him for the sake of regaining her familys honor after the second sinojapanese war ip man moves to hong kong and struggles to provide for his family in the mean time gong er chooses the path of vengeance after her father was killed by ma san,6.3,73,53
in this captivating depressionera melodrama impetuous veterinary student jacob jankowski joins a celebrated circus as an animal caretaker but faces a wrenching dilemma when hes transfixed by angelic married performer marlena,6.7,31,30
the land of altera has observed an uneasy peace for years among humans elves and evil beasts who are loyal to the legendary black dragon but the black dragon begins to stir from its hibernation sending the beasts marching across altera with a beast conquest perilously close a small group of humans and elves unite to try to find a secret hidden road to the black dragons cave and destroy it but the fate of all of them may be in the hands of the young warrior lambert who must summon the confidence and skill to face the black dragon himself just when all may be lost,6.8,107,70
the story of rubin hurricane carter a boxer wrongly imprisoned for murder and the people who aided in his fight to prove his innocence,7.2,24,22
workingclass waitress slim thought she was entering a life of domestic bliss when she married mitch the man of her dreams after the arrival of their first child her picture perfect life is shattered when she discovers mitchs hidden possessive dark side a controlling and abusive alter ego that can turn trust love and tranquility into terror terrified for her childs safety slim flees with her daughter relentless in his pursuit and enlisting the aid of lethal henchmen mitch continually stalks the prey that was once his family,6.2,88,67
max and page are a brilliant motherdaughter con team who have their grift down to a fine science max targets wealthy willing men and marries them page then seduces them and max catches her husband in the act then its off to palimony city and the next easy mark,5.7,49,38
security guard paul blart is headed to las vegas to attend a security guard expo with his teenage daughter maya before she departs for college while at the convention he inadvertently discovers a heist  and its up to blart to apprehend the criminals,5.0,43,35
a story about a seemingly unlikely couple who cross paths under lifethreatening circumstances as though they are destined not only to meet but to save each others lives not once but twice,5.6,32,28
when underappreciated video specialist joe scheffer is brutally humiliated by the office bully mark mckinney in front of his daughter joe begins a quest for personal redemption he proceeds by enduring a personal makeover and takes martial arts lessons from a baction star as news spreads of his rematch with mark joe suddenly finds himself the center of attention ascending the corporate ladder and growing in popularity hes determined to show everyone in his life that he is not a nobody but a force to be reckoned with,5.5,88,66
an allexpensespaid international search for a rare copy of the book the nine gates of the shadow kingdom brings an unscrupulous book dealer deep into a world of murder doubledealing and satanic worship,6.3,33,26
thriller about guy luthan hugh grant a british doctor working at a hospital in new york who starts making unwanted enquiries when the body of a man who died in his emergency room disappears the trail leads luthan to the door of the eminent surgeon dr lawrence myrick gene hackman but luthan soon finds himself under in danger from people who want the hospitals secret to remain undiscovered,5.7,68,54
rock star tells the story of chris cole and a rock band called steel dragon cole is a photocopier technician by day and the lead singer of a steel dragon tribute band called blood pollution by nightinternal struggles between the steel dragon band members culminate with the firing of the lead singer bobby beers and the starting of recruitment sessions to find a new vocalist loosely inspired by the true story of the heavy metal band judas priest,6.0,78,47
set in harlem in  claireece precious jones is a yearold african american girl born into a life no one would want shes pregnant for the second time by her absent father at home she must wait hand and foot on her mother an angry woman who abuses her emotionally and physically school is chaotic and precious has reached the ninth grade with good marks and a secretshe cant read,6.9,69,58
teenage boys discover discipline and camaraderie on an illfated sailing voyage,6.3,11,11
scientists in the antarctic are confronted by a shapeshifting alien that assumes the appearance of the people that it kills,7.8,20,17
betrayed by his own kind and left for dead on a desolate planet riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before soon bounty hunters from throughout the galaxy descend on riddick only to find themselves pawns in his greater scheme for revenge with his enemies right where he wants them riddick unleashes a vicious attack of vengeance before returning to his home planet of furya to save it from destruction,6.2,78,61
fbi agent dennis quaid tries to catch a serial killer who kidnapped his son,5.8,14,14
ten years after the civil war has ended the governor of texas asks leander mcnelly mcdermott to form a company of rangers to help uphold the law along the mexican border with a few veterans of the war patrick travis most of the recruits are young men van der beek kutcher raymond who have little or no experience with guns or policing crime,5.4,63,50
for generations the people of the city of ember have flourished in an amazing world of glittering lights but embers once powerful generator is failing and the great lamps that illuminate the city are starting to flicker now two teenagers in a race against time must search ember for clues that will unlock the ancient mystery of the citys existence before the the lights go out forever,6.2,67,51
freddie a volatile heavydrinking veteran who suffers from posttraumatic stress disorder finds some semblance of a family when he stumbles onto the ship of lancaster dodd the charismatic leader of a new religion he forms after world war ii,7.0,39,33
the film is set in tuscany during the black death as in the decameron ten young florentines take refuge from the plague but instead of telling stories they have lusty adventures bawdy exchanges romance and swordplay there are randy nuns saracen pirates and a sexy cow,4.3,46,41
based on the incredible true story the express follows the inspirational life of college football hero ernie davis the first africanamerican to win the heisman trophy,7.1,26,22
yearold cassie sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the stone age,5.6,31,28
the former world heavyweight champion rocky balboa serves as a trainer and mentor to adonis johnson the son of his late friend and former rival apollo creed,7.3,27,24
doug macray is a longtime thief who smarter than the rest of his crew is looking for his chance to exit the game when a bank job leads to the group kidnapping an attractive branch manager he takes on the role of monitoring her  but their burgeoning relationship threatens to unveil the identities of doug and his crew to the fbi agent who is on their case,7.0,67,47
challenges of impending parenthood turn the lives of five couples upside down two celebrities are unprepared for the surprise demands of pregnancy hormones wreak havoc on a babycrazy author while her husband tries not to be outdone by his father whos expecting twins with his young trophy wife a photographers husband isnt sure about his wifes adoption plans a onetime hookup results in a surprise pregnancy for rival foodtruck owners,5.8,70,58
when a disc containing memoirs of a former cia analyst falls into the hands of linda litzke and chad feldheimer the two gym employees see a chance to make enough money for her to have lifechanging cosmetic surgery predictably events whirl out of control for the duo doofuses and those in their orbit,6.5,53,44
a young girl inhabits an isolated island with her scientist father and communicates with a reclusive author of the novel shes reading,5.6,22,20
a biographical drama centered on the rivalry between formula  drivers james hunt and niki lauda during the  formula one motorracing season,7.7,21,19
an epic mosaic of many interrelated characters in search of happiness forgiveness and meaning in the san fernando valley,7.5,19,17
detectives jimmy and paul despite nine years as partners can still sometimes seem like polar opposites  especially when pauls unpredictable antics get them suspended without pay already strapped for cash and trying to pay for his daughters wedding jimmy decides to sell a rare baseball card thats worth tens of thousands unfortunately when the collectors shop is robbed and the card vanishes with the crook paul and jimmy end up going rogue tracking down the card and the drug ring behind its theft all on their own time and without any backup  except for each other,5.3,96,76
new york city is full of lonely hearts seeking the right match and what alice robin lucy meg tom and david all have in common is the need to learn how to be single in a world filled with everevolving definitions of love,5.9,43,37
a story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap,6.7,20,17
when bella swan moves to a small town in the pacific northwest to live with her father she starts school and meets the reclusive edward cullen a mysterious classmate who reveals himself to be a yearold vampire despite edwards repeated cautions bella cant help but fall in love with him a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the cullen clan,5.8,69,54
john quincy archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because hmo insurance will not cover it therefore he decides to take a hospital full of patients hostage until the hospital puts his sons name on the donors list,7.0,54,47
miles logan is a jewel thief who just hit the big time by stealing a huge diamond however after two years in jail he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery in an attempt to regain his diamond he poses as a lapd detective,6.1,60,45
a veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the us from mexico,6.8,25,22
on the threshold of nd century furrowing the space protagonist from the free search group makes emergency landing on an unknown planet where he must stay people who are living on this planet have remained at the stone level of the th century with its social problems miserable ecology and shaky world,5.3,52,43
when his suv breaks down on a remote southwestern road jeff taylor lets his wife amy hitch a ride with a trucker to get help when she doesnt return jeff fixes his suv and tracks down the trucker  who tells the police hes never seen amy johnathan mostows tense thriller then follows jeffs desperate search for his wife which eventually uncovers a small towns murderous secret,6.6,66,52
james bond returns as the secret agent  one more time to battle the evil organization spectre bond must defeat largo who has stolen two atomic warheads for nuclear blackmail but bond has an ally in largos girlfriend the willowy domino who falls for bond and seeks revenge this is the last time for sean connery as her majestys secret agent ,5.8,60,46
